publishedDateTime,resourceId,assessProperties_patchId,assessProperties_patchName,assessProperties_version,assessProperties_kbId,rebootRequired,osType,classification,msrcSeverity,classificationPriority,count_
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,linux-firmware.noarch_20200421-83.git78c0348.el7_9_CentOS Linux_7.9.2009,linux-firmware.noarch,20200421-83.git78c0348.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,lm_sensors-libs.x86_64_3.4.0-8.20160601gitf9185e5.el7_9.1_CentOS Linux_7.9.2009,lm_sensors-libs.x86_64,3.4.0-8.20160601gitf9185e5.el7_9.1,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,microcode_ctl.x86_64_2_2.1-73.20.el7_9_CentOS Linux_7.9.2009,microcode_ctl.x86_64,2:2.1-73.20.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,sos.noarch_3.9-5.el7.centos.12_CentOS Linux_7.9.2009,sos.noarch,3.9-5.el7.centos.12,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,cups-libs.x86_64_1_1.6.3-52.el7_9_CentOS Linux_7.9.2009,cups-libs.x86_64,1:1.6.3-52.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,curl.x86_64_7.29.0-59.el7_9.2_CentOS Linux_7.9.2009,curl.x86_64,7.29.0-59.el7_9.2,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,emacs-filesystem.noarch_1_24.3-23.el7_9.1_CentOS Linux_7.9.2009,emacs-filesystem.noarch,1:24.3-23.el7_9.1,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,zlib.x86_64_1.2.7-21.el7_9_CentOS Linux_7.9.2009,zlib.x86_64,1.2.7-21.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,iwl5150-firmware.noarch_8.24.2.2-83.el7_9_CentOS Linux_7.9.2009,iwl5150-firmware.noarch,8.24.2.2-83.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,bind-libs.x86_64_32_9.11.4-26.P2.el7_9.16_CentOS Linux_7.9.2009,bind-libs.x86_64,32:9.11.4-26.P2.el7_9.16,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,iwl6000g2a-firmware.noarch_18.168.6.1-83.el7_9_CentOS Linux_7.9.2009,iwl6000g2a-firmware.noarch,18.168.6.1-83.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,iwl6000g2b-firmware.noarch_18.168.6.1-83.el7_9_CentOS Linux_7.9.2009,iwl6000g2b-firmware.noarch,18.168.6.1-83.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,iwl7260-firmware.noarch_25.30.13.0-83.el7_9_CentOS Linux_7.9.2009,iwl7260-firmware.noarch,25.30.13.0-83.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,nss-util.x86_64_3.90.0-1.el7_9_CentOS Linux_7.9.2009,nss-util.x86_64,3.90.0-1.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,kernel-tools-libs.x86_64_3.10.0-1160.119.1.el7_CentOS Linux_7.9.2009,kernel-tools-libs.x86_64,3.10.0-1160.119.1.el7,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,less.x86_64_458-10.el7_9_CentOS Linux_7.9.2009,less.x86_64,458-10.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,libssh2.x86_64_1.8.0-4.el7_9.1_CentOS Linux_7.9.2009,libssh2.x86_64,1.8.0-4.el7_9.1,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,iwl6050-firmware.noarch_41.28.5.1-83.el7_9_CentOS Linux_7.9.2009,iwl6050-firmware.noarch,41.28.5.1-83.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,glibc.x86_64_2.17-326.el7_9.3_CentOS Linux_7.9.2009,glibc.x86_64,2.17-326.el7_9.3,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,libwbclient.x86_64_4.10.16-25.el7_9_CentOS Linux_7.9.2009,libwbclient.x86_64,4.10.16-25.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,samba-common-libs.x86_64_4.10.16-25.el7_9_CentOS Linux_7.9.2009,samba-common-libs.x86_64,4.10.16-25.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,dhclient.x86_64_12_4.2.5-83.el7.centos.2_CentOS Linux_7.9.2009,dhclient.x86_64,12:4.2.5-83.el7.centos.2,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,cronie-anacron.x86_64_1.4.11-25.el7_9_CentOS Linux_7.9.2009,cronie-anacron.x86_64,1.4.11-25.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,nspr.x86_64_4.35.0-1.el7_9_CentOS Linux_7.9.2009,nspr.x86_64,4.35.0-1.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,bind-export-libs.x86_64_32_9.11.4-26.P2.el7_9.16_CentOS Linux_7.9.2009,bind-export-libs.x86_64,32:9.11.4-26.P2.el7_9.16,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,nss-sysinit.x86_64_3.90.0-2.el7_9_CentOS Linux_7.9.2009,nss-sysinit.x86_64,3.90.0-2.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,ca-certificates.noarch_2023.2.60_v7.0.306-72.el7_9_CentOS Linux_7.9.2009,ca-certificates.noarch,2023.2.60_v7.0.306-72.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,nss-softokn-freebl.x86_64_3.90.0-6.el7_9_CentOS Linux_7.9.2009,nss-softokn-freebl.x86_64,3.90.0-6.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,nss-softokn.x86_64_3.90.0-6.el7_9_CentOS Linux_7.9.2009,nss-softokn.x86_64,3.90.0-6.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,nss-pem.x86_64_1.0.3-7.el7_9.1_CentOS Linux_7.9.2009,nss-pem.x86_64,1.0.3-7.el7_9.1,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,nss.x86_64_3.90.0-2.el7_9_CentOS Linux_7.9.2009,nss.x86_64,3.90.0-2.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,systemd.x86_64_219-78.el7_9.9_CentOS Linux_7.9.2009,systemd.x86_64,219-78.el7_9.9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,iwl3945-firmware.noarch_15.32.2.9-83.el7_9_CentOS Linux_7.9.2009,iwl3945-firmware.noarch,15.32.2.9-83.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,grub2-pc.x86_64_1_2.02-0.87.0.2.el7.centos.14_CentOS Linux_7.9.2009,grub2-pc.x86_64,1:2.02-0.87.0.2.el7.centos.14,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,libsss_nss_idmap.x86_64_1.16.5-10.el7_9.16_CentOS Linux_7.9.2009,libsss_nss_idmap.x86_64,1.16.5-10.el7_9.16,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,libsss_idmap.x86_64_1.16.5-10.el7_9.16_CentOS Linux_7.9.2009,libsss_idmap.x86_64,1.16.5-10.el7_9.16,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,iwl1000-firmware.noarch_1_39.31.5.1-83.el7_9_CentOS Linux_7.9.2009,iwl1000-firmware.noarch,1:39.31.5.1-83.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,python-perf.x86_64_3.10.0-1160.119.1.el7_CentOS Linux_7.9.2009,python-perf.x86_64,3.10.0-1160.119.1.el7,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,iwl6000-firmware.noarch_9.221.4.1-83.el7_9_CentOS Linux_7.9.2009,iwl6000-firmware.noarch,9.221.4.1-83.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,xfsdump.x86_64_3.1.7-4.el7_9_CentOS Linux_7.9.2009,xfsdump.x86_64,3.1.7-4.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,tzdata.noarch_2024a-1.el7_CentOS Linux_7.9.2009,tzdata.noarch,2024a-1.el7,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,systemd-sysv.x86_64_219-78.el7_9.9_CentOS Linux_7.9.2009,systemd-sysv.x86_64,219-78.el7_9.9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,systemd-python.x86_64_219-78.el7_9.9_CentOS Linux_7.9.2009,systemd-python.x86_64,219-78.el7_9.9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,iwl105-firmware.noarch_18.168.6.1-83.el7_9_CentOS Linux_7.9.2009,iwl105-firmware.noarch,18.168.6.1-83.el7_9,,N/A,Linux,Other,NotAvailable,2,1
